"journal_name","best_quartile","sjr_rank","sjr_index","h_index","citescore","country","oa","publisher"
"&quot;4th International Conference on Learning and Quality Education: &quot;&quot;&quot;&quot;Literacy, Globalization, and Technology of Education Quality for Preparing the Society 5.0&quot;&quot;&quot;&quot;, ICLIQE 2020&quot;","UNRANKED","","","","","","",""
"&quot;5th International Scientific and Practical Conference &quot;&quot;&quot;&quot;Distance Learning Technologies&quot;&quot;&quot;&quot;, DLT 2020&quot;","UNRANKED","","","","","","",""
"&quot;7th International Engineering Conference &quot;&quot;&quot;&quot;Research and Innovation Amid Global Pandemic&quot;&quot;&quot;&quot;, IEC 2021&quot;","UNRANKED","","","","","","",""
"&quot;Annals of the University &quot;&quot;Dunarea de Jos&quot;&quot; of Galati Fascicle VI: Food Technology&quot;","UNRANKED","","","","","","",""
"&quot;International Medical Scientific Journal &quot;&quot;MEDICUS&quot;&quot;&quot;","UNRANKED","","","","","","",""
"&quot;International Online Forum named after A.Ya. Kibanov &quot;&quot;&quot;&quot;Innovative Personnel Management”, IPM 2020&quot;","UNRANKED","","","","","","",""
"&quot;Jurnal Matematika &quot;&quot;Mantik&quot;&quot;&quot;","UNRANKED","","","","","","",""
"&quot;Proc. IEEE Int. Conf. &quot;&quot;Nanomater.: Appl. Prop.&quot;&quot;, NAP&quot;","UNRANKED","","","","","","",""
"&quot;Proc. IEEE Int. Conf. &quot;&quot;Qual. Manag., Transp. Inf. Secur., Inf. Technol.&quot;&quot;, IT QM IS&quot;","UNRANKED","","","","","","",""
"&quot;Universitatea &quot;&quot;Alexandru Ioan Cuza&quot;&quot; din Iasi. Sectiunea Sociologie si Asistenta Sociala. Analele Stiintifice&quot;","UNRANKED","","","","","","",""
"100 Tips to Avoid Mistakes in Academic Writing and Presenting","UNRANKED","","","","","","",""
"10th AMER International Conference on Quality of Life (AicQoL)","UNRANKED","","","","","","",""
"10th Brazilian Conference on Intelligent Systems, BRACIS 2021","UNRANKED","","","","","","",""
"10th Computer Science Education Research Conference, CSERC 2021","UNRANKED","","","","","","",""
"10th Computer Science Online Conference, CSOC 2021","UNRANKED","","","","","","",""
"10th EAI International Conference on ArtsIT, Interactivity and Game Creation, ArtsIT 2021","UNRANKED","","","","","","",""
"10th EAI International Conference on Context-Aware Systems and Applications, ICCASA 2021","UNRANKED","","","","","","",""
"10th Engineering International Conference, EIC 2021","UNRANKED","","","","","","",""
"10th Global Telehealth Conference 2020","UNRANKED","","","","","","",""
"10th IEEE CPMT Symposium Japan, ICSJ 2021","UNRANKED","","","","","","",""
"10th IEEE Data Driven Control and Learning Systems Conference, DDCLS 2021","UNRANKED","","","","","","",""
"10th IEEE Global Conference on Consumer Electronics, GCCE 2021","UNRANKED","","","","","","",""
"10th IEEE International Conference on Communication Systems and Network Technologies, CSNT 2021","UNRANKED","","","","","","",""
"10th IEEE International Conference on Communication, Networks and Satellite, Comnetsat 2021","UNRANKED","","","","","","",""
"10th IEEE International Conference on Control System, Computing and Engineering, ICCSCE 2020","UNRANKED","","","","","","",""
"10th IEEE International Conference on Electronics Information and Emergency Communication, ICEIEC 2020","UNRANKED","","","","","","",""
"10th IEEE International Conference on Intelligent Computing and Information Systems, ICICIS 2021","UNRANKED","","","","","","",""
"10th IEEE International Conference on Intelligent Systems, IS 2020","UNRANKED","","","","","","",""
"10th IFIP International Conference on Performance Evaluation and Modeling in Wireless and Wired Networks, PEMWN 2021","UNRANKED","","","","","","",""
"10th International Conference of Educational Innovation through Technology, EITT 2021","UNRANKED","","","","","","",""
"10th International Conference of Production Research - Americas, ICPR-Americas 2020","UNRANKED","","","","","","",""
"10th International Conference on Advances in Computing and Communications, ICACC 2021","UNRANKED","","","","","","",""
"10th International Conference on Bioinformatics and Biomedical Science, ICBBS 2021","UNRANKED","","","","","","",""
"10th International Conference on Communities and Technologies: Wicked Problems in the Age of Tech, C and T 2021","UNRANKED","","","","","","",""
"10th International Conference on Complex Networks and Their Applications, COMPLEX NETWORKS 2021","UNRANKED","","","","","","",""
"10th International Conference on Complex Systems, ICCS 2020","UNRANKED","","","","","","",""
"10th International Conference on Computational Data and Social Networks, CSoNet 2021","UNRANKED","","","","","","",""
"10th International Conference on Computer Engineering and Networks, CENet 2020","UNRANKED","","","","","","",""
"10th International Conference on Computing and Pattern Recognition, ICCPR 2021","UNRANKED","","","","","","",""
"10th International Conference on Control, Automation and Information Sciences, ICCAIS 2021","UNRANKED","","","","","","",""
"10th International Conference on Data Science, Technology and Applications, DATA 2021","UNRANKED","","","","","","",""
"10th International Conference on Design, User Experience, and Usability held as Part of the 23rd International Conference on Human-Computer Interaction (HCII)","UNRANKED","","","","","","",""
"10th International Conference on Design, User Experience, and Usability, DUXU 2021, held as part of the 23rd International Conference, HCI International 2021","UNRANKED","","","","","","",""
"10th International Conference on Digital and Interactive Arts: Hybrid Praxis - Art, Sustainability and Technology, ARTECH 2021","UNRANKED","","","","","","",""
"10th International Conference on Frontier Computing, FC 2020","UNRANKED","","","","","","",""
"10th International Conference on Games and Learning Alliance, GALA 2021","UNRANKED","","","","","","",""
"10th International Conference on Health Information Science, HIS 2021","UNRANKED","","","","","","",""
"10th International Conference on High-Performance Computing Systems and Technologies in Scientific Research, Automation of Control and Production, HPCST 2020","UNRANKED","","","","","","",""
"10th International Conference on Industrial Technology and Management, ICITM 2021","UNRANKED","","","","","","",""
"10th International Conference on Infocommunications – Present and Future, IPF 2020","UNRANKED","","","","","","",""
"10th International Conference on Informatics, Environment, Energy and Applications, IEEA 2021","UNRANKED","","","","","","",""
"10th International Conference on Internet Computing for Science and Engineering, ICICSE 2021","UNRANKED","","","","","","",""
"10th International Conference on Internet of Everything, Microwave Engineering, Communication and Networks, IEMECON 2021","UNRANKED","","","","","","",""
"10th International Conference on Leading Edge Manufacturing Technologies in 21st Century, LEM 2021","UNRANKED","","","","","","",""
"10th International Conference on Manufacturing Engineering and Processes, ICMEP 2021","UNRANKED","","","","","","",""
"10th International Conference on Model and Data Engineering, MEDI 2021","UNRANKED","","","","","","",""
"10th International Conference on Pervasive and Parallel Computing, Communication and Sensors, PECCS 2020","UNRANKED","","","","","","",""
"10th International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications, ICRAMET 2021","UNRANKED","","","","","","",""
"10th International Conference on Simulation and Modeling Methodologies, Technologies and Applications, SIMULTECH 2020","UNRANKED","","","","","","",""
"10th International Conference on Smart Cities and Green ICT Systems (SMARTGREENS)","UNRANKED","","","","","","",""
"10th International Conference on Software and Computer Applications, ICSCA 2021","UNRANKED","","","","","","",""
"10th International Conference on Software and Information Engineering, ICSIE 2021","UNRANKED","","","","","","",""
"10th International Conference on Software Process Improvement, CIMPS 2021","UNRANKED","","","","","","",""
"10th International Conference on System Modeling and Advancement in Research Trends, SMART 2021","UNRANKED","","","","","","",""
"10th International Conference on the Internet of Things, IoT 2020","UNRANKED","","","","","","",""
"10th International IEEE/EMBS Conference on Neural Engineering, NER 2021","UNRANKED","","","","","","",""
"10th International Scientific Symposium on Region, Entrepreneurship, Development (RED)","UNRANKED","","","","","","",""
"10th International symposium on Graphic Engineering and Design, GRID 2020","UNRANKED","","","","","","",""
"10th Latin American Conference on Human Computer Interaction, CLIHC 2021","UNRANKED","","","","","","",""
"10th Latin-American Symposium on Dependable Computing, LADC 2021","UNRANKED","","","","","","",""
"10th Mediterranean Conference on Embedded Computing, MECO 2021","UNRANKED","","","","","","",""
"10th National Physics Seminar, SNF 2021","UNRANKED","","","","","","",""
"10th Operational Research Society Simulation Workshop, SW 2021","UNRANKED","","","","","","",""
"11th ACM SIGIR International Conference on Theory of Information Retrieval, ICTIR 2021","UNRANKED","","","","","","",""
"11th Annual IEEE Global Humanitarian Technology Conference (IEEE GHTC)","UNRANKED","","","","","","",""
"11th Annual International Conference on Industrial Engineering and Operations Management, IEOM 2021","UNRANKED","","","","","","",""
"11th Annual International Research Conference of Symbiosis Institute of Management Studies, SIMSARC 2020","UNRANKED","","","","","","",""
"11th Conference and Labs of the Evaluation Forum, CLEF 2020","UNRANKED","","","","","","",""
"11th EAI International Conference on Mobile Networks and Management, MONAMI 2021","UNRANKED","","","","","","",""
"11th IEEE International Conference on Cognitive Infocommunications, CogInfoCom 2020","UNRANKED","","","","","","",""
"11th IEEE International Conference on Consumer Electronics, ICCE-Berlin 2021","UNRANKED","","","","","","",""
"11th IEEE International Conference on Control System, Computing and Engineering, ICCSCE 2021","UNRANKED","","","","","","",""
"11th IEEE International Conference on Electronics Information and Emergency Communication, ICEIEC 2021","UNRANKED","","","","","","",""
"11th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS 2021","UNRANKED","","","","","","",""
"11th IEEE International Conference on Knowledge Graph, ICKG 2020","UNRANKED","","","","","","",""
"11th IEEE International Conference on System Engineering and Technology, ICSET 2021","UNRANKED","","","","","","",""
"11th IEEE Symposium on Computer Applications and Industrial Electronics, ISCAIE 2021","UNRANKED","","","","","","",""
"11th IEEE-PES Innovative Smart Grid Technologies Europe (IEEE-PES ISGT Europe)","UNRANKED","","","","","","",""
"11th International Advanced Computing Conference, IACC 2021","UNRANKED","","","","","","",""
"11th International Conf erence on Artificial Intelligence, SETN 2020","UNRANKED","","","","","","",""
"11th International Conference of Pattern Recognition Systems, ICPRS 2021","UNRANKED","","","","","","",""
"11th International Conference on Advanced Computer Information Technologies, ACIT 2021","UNRANKED","","","","","","",""
"11th International Conference on Advances in Information Technology, IAIT 2020","UNRANKED","","","","","","",""
"11th International Conference on Biomedical Engineering and Technology, ICBET 2021","UNRANKED","","","","","","",""
"11th International Conference on Computer Engineering and Knowledge, ICCKE 2021","UNRANKED","","","","","","",""
"11th International Conference on Computer Engineering and Networks, CENet2021","UNRANKED","","","","","","",""
"11th International Conference on Educational and Information Technology, ICEIT 2022","UNRANKED","","","","","","",""
"11th International Conference on Functional Imaging and Modeling of the Heart, FIMH 2021","UNRANKED","","","","","","",""
"11th International Conference on Image and Graphics, ICIG 2021","UNRANKED","","","","","","",""
"11th International Conference on Indoor Positioning and Indoor Navigation - Work-in Progress Papers, IPIN-WiP 2021","UNRANKED","","","","","","",""
"11th International Conference on Indoor Positioning and Indoor Navigation (IPIN)","UNRANKED","","","","","","",""
"11th International Conference on Information and Communication Technology Convergence (ICTC) - Data, Network, and AI in the age of Untact (ICTC)","UNRANKED","","","","","","",""
"11th International Conference on Information Communication and Management, ICICM 2021","UNRANKED","","","","","","",""
"11th International Conference on Information Systems and Advanced Technologies, ICISAT 2021","UNRANKED","","","","","","",""
"11th International Conference on Information Technology in Medicine and Education, ITME 2021","UNRANKED","","","","","","",""
"11th International Conference on Innovation in Urban and Regional Planning, INPUT 2021","UNRANKED","","","","","","",""
"11th International Conference on Intelligent Control and Information Processing, ICICIP 2021","UNRANKED","","","","","","",""
"11th International Conference on Methodologies and Intelligent Systems for Technology Enhanced Learning, MIS4TEL 2021","UNRANKED","","","","","","",""
"11th International Conference on Robotics, Vision, Signal Processing and Power Applications, RoViSP 2021","UNRANKED","","","","","","",""
"11th International Conference on Simulation and Modeling Methodologies, Technologies and Applications, SIMULTECH 2021","UNRANKED","","","","","","",""
"11th International Conference on Sustainable Built Environment, ICSBE 2020","UNRANKED","","","","","","",""
"11th international Conference on Sustainable Water Resources Management: Effective Approaches for River Basins and Urban Catchments, WRM 2021","UNRANKED","","","","","","",""
"11th International Conference on the Internet of Things, IoT 2021","UNRANKED","","","","","","",""
"11th International Conference on Theory and Applications Soft Computing, Computing with Words and Perceptions and Artificial Intelligence, ICSCCW 2021","UNRANKED","","","","","","",""
"11th International Symposium on Business Modeling and Software Design, BMSD 2021","UNRANKED","","","","","","",""
"11th International Workshop NDT in Progress","UNRANKED","","","","","","",""
"11th Nordic Conference on Human-Computer Interaction: Shaping Experiences, Shaping Society, NordiCHI 2020","UNRANKED","","","","","","",""
"11th World Conference &#x0201c;Intelligent System for Industrial Automation&#x0201d; (WCIS-2020)","UNRANKED","","","","","","",""
"12th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, BCB 2021","UNRANKED","","","","","","",""
"12th ACM Conference on Web Science, WebSci 2020","UNRANKED","","","","","","",""
"12th ACM International Conference on Automotive User Interfaces and Interactive Vehicular Applications, AutomotiveUI 2020","UNRANKED","","","","","","",""
"12th ACM International Conference on Future Energy Systems, e-Energy 2021","UNRANKED","","","","","","",""
"12th EAI International Conference on Intelligent Technologies for Interactive Entertainment, INTETAIN 2020","UNRANKED","","","","","","",""
"12th IEEE Annual Computing and Communication Workshop and Conference, CCWC 2022","UNRANKED","","","","","","",""
"12th IEEE Annual Information Technology, Electronics and Mobile Communication Conference, IEMCON 2021","UNRANKED","","","","","","",""
"12th IEEE Annual Ubiquitous Computing, Electronics and Mobile Communication Conference (UEMCON)","UNRANKED","","","","","","",""
"12th IEEE Annual Ubiquitous Computing, Electronics and Mobile Communication Conference, UEMCON 2021","UNRANKED","","","","","","",""
"12th IEEE Control and System Graduate Research Colloquium, ICSGRC 2021","UNRANKED","","","","","","",""
"12th IEEE Energy Conversion Congress and Exposition - Asia, ECCE Asia 2021","UNRANKED","","","","","","",""
"12th IEEE International Conference on Big Knowledge, ICBK 2021","UNRANKED","","","","","","",""
"12th IEEE International Conference on Electronics and Information Technologies, ELIT 2021","UNRANKED","","","","","","",""
"12th IEEE International Conference on Mechanical and Intelligent Manufacturing Technologies, ICMIMT 2021","UNRANKED","","","","","","",""
"12th IEEE International Workshop on Computational Intelligence and Applications, IWCIA 2021","UNRANKED","","","","","","",""
"12th IFIP WG 5.5/SOCOLNET Advanced Doctoral Conference on Computing, Electrical and Industrial Systems, DoCEIS 2021","UNRANKED","","","","","","",""
"12th Indian Conference on Computer Vision, Graphics and Image Processing, ICVGIP 2021","UNRANKED","","","","","","",""
"12th Indian Conference on Human-Computer Interaction, India HCI 2021","UNRANKED","","","","","","",""
"12th International Conference of the Cross-Language Evaluation Forum for European Languages, CLEF 2021","UNRANKED","","","","","","",""
"12th International Conference on Advances in Information Technology: Intelligence and Innovation for Digital Business and Society, IAIT 2021","UNRANKED","","","","","","",""
"12th International Conference on Advances in Swarm Intelligence, ICSI 2021","UNRANKED","","","","","","",""
"12th International Conference on Ambient Systems, Networks and Technologies","UNRANKED","","","","","","",""
"12th International Conference on Bioinformatics and Biomedical Technology, ICBBT 2020","UNRANKED","","","","","","",""
"12th International Conference on Broadband Communications, Networks, and Systems, BROADNETS 2021","UNRANKED","","","","","","",""
"12th International Conference on Cloud Computing, Data Science and Engineering, Confluence 2022","UNRANKED","","","","","","",""
"12th International Conference on Computer Communication and Informatics, ICCCI 2022","UNRANKED","","","","","","",""
"12th International Conference on Computer Modeling and Simulation, ICCMS 2020 and the 9th International Conference on Intelligent Computing and Applications. ICICA 2020","UNRANKED","","","","","","",""
"12th International Conference on Computer Supported Education, CSEDU 2020","UNRANKED","","","","","","",""
"12th International Conference on Computing Communication and Networking Technologies, ICCCNT 2021","UNRANKED","","","","","","",""
"12th International Conference on Digital Human Modeling and Applications in Health, Safety, Ergonomics and Risk Management, DHM 2021, Held as Part of the 23rd HCI International Conference, HCII 2021","UNRANKED","","","","","","",""
"12th International Conference on E-business, Management and Economics, ICEME 2021","UNRANKED","","","","","","",""
"12th International Conference on E-Education, E-Business, E-Management, and E-Learning, IC4E 2021","UNRANKED","","","","","","",""
"12th International Conference on Emerging Ubiquitous Systems and Pervasive Networks, EUSPN 2021 / 11th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, ICTH 2021","UNRANKED","","","","","","",""
"12th International Conference on Information and Communication Systems, ICICS 2021","UNRANKED","","","","","","",""
"12th International Conference on Information and Communication Technology Convergence, ICTC 2021","UNRANKED","","","","","","",""
"12th International Conference on Information and Knowledge Technology, IKT 2021","UNRANKED","","","","","","",""
"12th International Conference on Information, Intelligence, Systems and Applications, IISA 2021","UNRANKED","","","","","","",""
"12th International Conference on Innovations in Bio-Inspired Computing and Applications, IBICA 2021 and 11th World Congress on Information and Communication Technologies, WICT 2021","UNRANKED","","","","","","",""
"12th International Conference on Intelligent Networking and Collaborative Systems, INCoS 2020","UNRANKED","","","","","","",""
"12th International Conference on Knowledge and Systems Engineering (KSE)","UNRANKED","","","","","","",""
"12th International Conference on Knowledge Discovery and Information Retrieval, KDIR 2020 - Part of the 12th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management, IC3K 2020","UNRANKED","","","","","","",""
"12th International Conference on Learning Analytics and Knowledge: Learning Analytics for Transition, Disruption and Social Change, LAK 2022","UNRANKED","","","","","","",""
"12th International Conference on Social Informatics, SocInfo 2020","UNRANKED","","","","","","",""
"12th International Conference on the Theory and Application of Diagrams, Diagrams 2021","UNRANKED","","","","","","",""
"12th International Conference on Transport Infrastructure: Territory Development and Sustainability, TITDS 2021","UNRANKED","","","","","","",""
"12th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops, ICUMT 2020","UNRANKED","","","","","","",""
"12th International Multi-Conference on Complexity, Informatics and Cybernetics, IMCIC 2021","UNRANKED","","","","","","",""
"12th International Renewable Energy Congress, IREC 2021","UNRANKED","","","","","","",""
"12th International Scientific Conference on Transbaltica - Transportation Science and Technology (TRANSBALTICA)","UNRANKED","","","","","","",""
"12th International Symposium on Cyberspace Safety and Security, CSS 2020","UNRANKED","","","","","","",""
"12th International Symposium on Image and Signal Processing and Analysis, ISPA 2021","UNRANKED","","","","","","",""
"12th International Symposium on Parallel Architectures, Algorithms and Programming, PAAP 2021","UNRANKED","","","","","","",""
"12th International Workshop on Machine Learning in Medical Imaging, MLMI 2021, held in conjunction with 24th International Conference on Medical Image Computing and Computer Assisted Intervention, MICCAI 2021","UNRANKED","","","","","","",""
"12th Iranian/2nd International Conference on Machine Vision and Image Processing, MVIP 2022","UNRANKED","","","","","","",""
"12th National Conference on Recent Advancements in Biomedical Engineering, NCRABE 2020","UNRANKED","","","","","","",""
"12th National Conference with International Participation, ELECTRONICA 2021","UNRANKED","","","","","","",""
"12th Wireless Days Conference (WD)","UNRANKED","","","","","","",""
"12th Wireless Days Conference, WD 2021","UNRANKED","","","","","","",""
"130 Years of Medicine in Hong Kong","UNRANKED","","","","","","",""
"133rd Annual Meeting of the American-Economic-Association (AEA)","UNRANKED","","","","","","",""
"13th ACM Conference on Security and Privacy in Wireless and Mobile Networks, WiSec 2020","UNRANKED","","","","","","",""
"13th ACM SIGCHI Symposium on Engineering Interactive Computing Systems, EICS 2021","UNRANKED","","","","","","",""
"13th ACM Web Science Conference, WebSci 2021","UNRANKED","","","","","","",""
"13th Annual Conference of the Euromed Academy of Business: Business Theory and Practice across Industries and Markets","UNRANKED","","","","","","",""
"13th Annual Meeting of the Forum for Information Retrieval Evaluation, FIRE 2021","UNRANKED","","","","","","",""
"13th Asian Conference on Intelligent Information and Database Systems, ACIIDS 2021","UNRANKED","","","","","","",""
"13th AUN/SEED-Net Regional Conference on Materials 2020, RCM 2020 and the 1st International Conference on Materials Engineering and Manufacturing, ICMEM 2020","UNRANKED","","","","","","",""
"13th Biomedical Engineering International Conference, BMEiCON 2021","UNRANKED","","","","","","",""
"13th CMI Conference on Cybersecurity and Privacy - Digital Transformation - Potentials and Challenges, CMI 2020","UNRANKED","","","","","","",""
"13th Conference on Creativity and Cognition, C and C 2021","UNRANKED","","","","","","",""
"13th EAI International Conference on Bio-inspired Information and Communications Technologies, BICT 2021","UNRANKED","","","","","","",""
"13th EAI International Conference on Intelligent Technologies for Interactive Entertainment, INTETAIN 2021","UNRANKED","","","","","","",""
"13th Economics and Finance Virtual Conference","UNRANKED","","","","","","",""
"13th Electrical Engineering Faculty Conference, BulEF 2021","UNRANKED","","","","","","",""
"13th GeoInformation for Disaster Management Conference, Gi4DM 2020","UNRANKED","","","","","","",""
"13th IEEE-PES Asia Pacific Power and Energy Engineering Conference (APPEEC)","UNRANKED","","","","","","",""
"13th IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2021","UNRANKED","","","","","","",""
"13th IEEE/ACM International Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2021","UNRANKED","","","","","","",""
"13th IFIP WG 8.5 International Conference on Electronic Participation, ePart 2021","UNRANKED","","","","","","",""
"13th International Conference on Advanced Computational Intelligence, ICACI 2021","UNRANKED","","","","","","",""
"13th International Conference on Advanced Computer Science and Information Systems (ICACSIS)","UNRANKED","","","","","","",""
"13th International Conference on Advanced Computer Science and Information Systems, ICACSIS 2021","UNRANKED","","","","","","",""
"13th International Conference on Bioinformatics and Biomedical Technology, ICBBT 2021","UNRANKED","","","","","","",""
"13th International Conference on Bioinformatics Models, Methods and Algorithms (BIOINFORMATICS) held as part of 15th International Joint Conference on Biomedical Engineering Systems and Technologies (BIOSTEC)","UNRANKED","","","","","","",""
"13th International Conference on Blended Learning, ICBL 2020","UNRANKED","","","","","","",""
"13th International Conference on Brain Informatics, BI 2020","UNRANKED","","","","","","",""
"13th International Conference on Computational Collective Intelligence, ICCCI 2021","UNRANKED","","","","","","",""
"13th International Conference on Computer Modeling and Simulation, ICCMS 2021","UNRANKED","","","","","","",""
"13th International Conference on Computer Supported Education (CSEDU)","UNRANKED","","","","","","",""
"13th International Conference on Contemporary Computing, IC3 2021","UNRANKED","","","","","","",""
"13th International Conference on Cross-Cultural Design, CCD 2021, Held as Part of the 23rd HCI International Conference, HCII 2021","UNRANKED","","","","","","",""
"13th International Conference on Cyber Conflict, CyCon 2021","UNRANKED","","","","","","",""
"13th International Conference on Developments in eSystems Engineering, DeSE 2020","UNRANKED","","","","","","",""
"13th International Conference on Digital Image Processing, ICDIP 2021","UNRANKED","","","","","","",""
"13th International Conference on E-Education, E-Business, E-Management, and E-Learning, IC4E 2022","UNRANKED","","","","","","",""
"13th International Conference on Education Technology and Computers, ICETC 2021","UNRANKED","","","","","","",""
"13th International Conference on Electrical and Electronics Engineering, ELECO 2021","UNRANKED","","","","","","",""
"13th International Conference on Electronics, Computers and Artificial Intelligence, ECAI 2021","UNRANKED","","","","","","",""
"13th International Conference on ICT Innovations, ICT Innovations 2021","UNRANKED","","","","","","",""
"13th International Conference on Information and Communication Technology and System (ICTS)","UNRANKED","","","","","","",""
"13th International Conference on Information Systems and Grid Technologies, ISGT 2020","UNRANKED","","","","","","",""
"13th International Conference on Intelligent Computation Technology and Automation, ICICTA 2020","UNRANKED","","","","","","",""
"13th International Conference on Intelligent Human Computer Interaction, IHCI 2021","UNRANKED","","","","","","",""
"13th International Conference on Intelligent Human-Machine Systems and Cybernetics, IHMSC 2021","UNRANKED","","","","","","",""
"13th International Conference on Intelligent Networking and Collaborative Systems, INCoS 2021","UNRANKED","","","","","","",""
"13th International Conference on Measuring Technology and Mechatronics Automation, ICMTMA 2021","UNRANKED","","","","","","",""
"13th International Conference on Mobile Computing and Ubiquitous Network, ICMU 2021","UNRANKED","","","","","","",""
"13th International Conference on Nanomaterials - Research and Application, NANOCON 2021","UNRANKED","","","","","","",""
"13th International Conference on Quality of Multimedia Experience, QoMEX 2021","UNRANKED","","","","","","",""
"13th International Conference on Semantic Web Applications and Tools for Health Care and Life Sciences, SWAT4HCLS 2022","UNRANKED","","","","","","",""
"13th International Conference on Social Computing and Social Media, SCSM 2021, held as part of the 23rd International Conference, HCI International 2021","UNRANKED","","","","","","",""
"13th International Conference on Soft Computing and Pattern Recognition, SoCPaR 2021 and 13th World Congress on Nature and Biologically Inspired Computing, NaBIC 2021","UNRANKED","","","","","","",""
"13th International Conference on Theory and Application of Fuzzy Systems and Soft Computing &#x02014; ICAFS-2018","UNRANKED","","","","","","",""
"13th International Conference on Theory and Practice of Electronic Governance, ICEGOV 2020","UNRANKED","","","","","","",""
"13th International Conference on Virtual, Augmented and Mixed Reality, VAMR 2021, Held as Part of the 23rd HCI International Conference, HCII 2021","UNRANKED","","","","","","",""
"13th International KES Conference on Intelligent Decision Technologies, KES-IDT 2021","UNRANKED","","","","","","",""
"13th International Multi-Conference on Complexity, Informatics and Cybernetics, IMCIC 2022","UNRANKED","","","","","","",""
"13th International Scientific and Practical Conference on Environment. Technology. Resources, ETR 2021","UNRANKED","","","","","","",""
"13th International Scientific Conference WoodEMA / 31st International Scientific Conference on Wood Science and Technology (ICWST)","UNRANKED","","","","","","",""
"13th International Symposium on Cyberspace Safety and Security, CSS 2021","UNRANKED","","","","","","",""
"13th International Symposium on Project Approaches in Engineering Education and 18th Active Learning in Engineering Education Workshop, PAEE/ALE 2021","UNRANKED","","","","","","",""
"13th International Workshop on Fuzzy Logic and Applications, WILF 2021","UNRANKED","","","","","","",""
